,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
219,1626,艾美特-KY,股票,電器電纜,2013/03/21
220,1701,中化,股票,生技醫療業,1962/02/09
221,1702,南僑,股票,食品工業,1973/05/30
222,1707,葡萄王,股票,生技醫療業,1982/12/20
223,1708,東鹼,股票,化學工業,1986/06/16
224,1709,和益,股票,化學工業,1986/07/03
225,1710,東聯,股票,化學工業,1987/10/21
226,1711,永光,股票,化學工業,1988/12/27
227,1712,興農,股票,化學工業,1989/12/14
228,1713,國化,股票,化學工業,1990/01/31
229,1714,和桐,股票,化學工業,1991/08/30
230,1717,長興,股票,化學工業,1994/03/31
231,1718,中纖,股票,化學工業,1963/12/02
232,1720,生達,股票,生技醫療業,1995/12/12
233,1721,三晃,股票,化學工業,1996/05/16
234,1722,台肥,股票,化學工業,1998/03/24
235,1723,中碳,股票,化學工業,1998/11/27
236,1724,台硝,股票,化學工業,1995/03/30
237,1725,元禎,股票,化學工業,2000/09/11
238,1726,永記,股票,化學工業,2000/09/11
239,1727,中華化,股票,化學工業,2000/09/11
240,1730,花仙子,股票,化學工業,2001/09/17
241,1731,美吾華,股票,生技醫療業,2001/09/17
242,1732,毛寶,股票,化學工業,2001/09/17
243,1733,五鼎,股票,生技醫療業,2001/09/17
244,1734,杏輝,股票,生技醫療業,2002/08/26
245,1735,日勝化,股票,化學工業,2002/08/26
246,1736,喬山,股票,生技醫療業,2003/01/09
247,1737,臺鹽,股票,食品工業,2003/11/18
248,1760,寶齡富錦,股票,生技醫療業,2018/01/23
249,1762,中化生,股票,生技醫療業,2010/12/20
250,1773,勝一,股票,化學工業,2009/02/27
251,1776,展宇,股票,化學工業,2016/05/09
252,1783,和康生,股票,生技醫療業,2013/12/20
253,1786,科妍,股票,生技醫療業,2013/11/12
254,1789,神隆,股票,生技醫療業,2011/09/29
255,1795,美時,股票,生技醫療業,2019/12/16
256,1802,台玻,股票,玻璃陶瓷,1973/07/20
257,1805,寶徠,股票,建材營造業,1989/10/20
258,1806,冠軍,股票,玻璃陶瓷,1992/09/29
259,1808,潤隆,股票,建材營造業,1994/10/26
260,1809,中釉,股票,玻璃陶瓷,1996/04/30
261,1810,和成,股票,玻璃陶瓷,1991/10/14
262,1817,凱撒衛,股票,玻璃陶瓷,2013/10/24
263,1903,士紙,股票,造紙工業,1963/12/09
264,1904,正隆,股票,造紙工業,1971/09/10
265,1905,華紙,股票,造紙工業,1975/02/07
266,1906,寶隆,股票,造紙工業,1976/04/26
267,1907,永豐餘,股票,造紙工業,1977/02/22
268,1909,榮成,股票,造紙工業,1985/11/19
269,2002,中鋼,股票,鋼鐵工業,1974/12/26
270,2006,東和鋼鐵,股票,鋼鐵工業,1988/07/13
271,2007,燁興,股票,鋼鐵工業,1988/10/04
272,2008,高興昌,股票,鋼鐵工業,1988/12/28
273,2009,第一銅,股票,鋼鐵工業,1989/10/20
